searchType,showId,stdShowId,showName,showDate,cityName,cityId,showStatus,minOriginalPrice,posterUrl,venueId,venueName,backendCategory,isFree,firstShowTime,lastShowTime,minOriginalPriceInfo,latestShowTime,showSessionDates,soldOut,sessionNum,seatPlanNum
SHOW,662481ce5144d800012736dd,662481cd5e52ce00010c7cd1,【北京】2024不言而语器摇音乐季,2024.06.02 19:00,北京,1101,ONSALE,128.0,https://cdn.ticketmars.com/prod/external/img/20240421/662481cdb2a4ca00012051c5.jpg,599a47170cf20fb2084de421,疆进酒 OMNI SPACE 北京,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1717326000000,1717340400000,"{'yuanNum': '128', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1717326000000,['20240602'],False,1,3
SHOW,662ded785144d800012ee1eb,662ded77d621370001837e4f,【北京】普通人生  海洋Bo 2024专辑巡演 北京站,2024.05.25 20:00,北京,1101,ONSALE,120.0,https://cdn.ticketmars.com/prod/external/img/20240428/662ded776ec476000169a21d.jpg,6464797350257400011fa3b3,East LIVE,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1716638400000,1716645659000,"{'yuanNum': '120', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1716638400000,['20240525'],False,1,4
SHOW,660abe92fceb5b00013411af,660abe913aefd50001dfe3d1,【大连】齐一《生活万岁》2024巡演 大连站,2024.07.12 20:00,大连,2102,ONSALE,138.0,https://cdn.ticketmars.com/prod/external/img/20240401/660abe9113dbca000147763d.jpg,616662b3908c383ac9d17416,赫兹空间（佳兆业店）,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1720785600000,1720792800000,"{'yuanNum': '138', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1720785600000,['20240712'],False,1,3
SHOW,6630611756b9f2000144c2fd,66305ab2a7db130001687ada,【北京】北京 | 5.18-19 Antonio Fusco Trio「Sete」，意式美学中的稀有宝石,2024.05.18 - 05.19,北京,1101,ONSALE,220.0,https://cdn.ticketmars.com/image/prod/20240430_23/17144451749857651.png,585a2ab60cf2477fb36e1f96,Blue Note Beijing,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1716033600000,1716125400000,"{'yuanNum': '220', 'centNum': '', 'suffix': '', 'prefix': '￥'}",1716033600000,"['20240519', '20240518']",False,2,2
SHOW,6620f6cee1b6eb0001cbabbc,6620f6cb5cee7b00014cd6ce,【北京】Cornelius “梦中梦” 2024巡演 北京站,2024.05.28 20:30,北京,1101,ONSALE,380.0,https://cdn.ticketmars.com/prod/external/img/20240418/6620f6ccb2a4ca0001957d2d.jpg,640819d33d195a00013bab46,福浪Live House-福,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1716899400000,1716904800000,"{'yuanNum': '380', 'centNum': '', 'suffix': '', 'prefix': '￥'}",1716899400000,['20240528'],False,1,1
SHOW,662dfb8c4d74d30001dcfd76,662dfb8c07e8c400018c33a8,【郑州】刘炫廷「NOBODY」2024巡演 郑州站,2024.06.02 20:00,郑州,4101,ONSALE,168.0,https://cdn.ticketmars.com/prod/external/img/20240428/662dfb896ec47600016b984a.jpg,5b600bec908c3816513b884e,7LIVEHOUSE（新通桥店）,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1717329600000,1717335059000,"{'yuanNum': '168', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1717329600000,['20240602'],False,1,3
SHOW,6617ae41d61da00001e0ddfd,6617ae41bf66530001a91aed,【北京】聽天湯「同年同月同日_」首張專輯巡演 北京站,2024.05.16 20:30,北京,1101,ONSALE,110.0,https://cdn.ticketmars.com/prod/external/img/20240401/660a86496121320001f04c9a.jpg,580485680cf28631977d3d8e,Mao Livehouse （北京）,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1715862600000,1715868000000,"{'yuanNum': '110', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1715862600000,['20240516'],False,1,4
SHOW,6620827420a8020001664880,66207f5320a802000165acbc,【洛阳】英国 UKEBOX 尤克里里乐队 2024巡演-洛阳站,2024.06.05 20:00,洛阳,4103,ONSALE,128.0,https://cdn.ticketmars.com/image/prod/20240418_13/17134058026711351.jpg,661f9482a84da50001628550,洛阳拾叁堂livehouse（天心店）,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1717588800000,1717594200000,"{'yuanNum': '128', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1717588800000,['20240605'],False,1,3
SHOW,662870bc8b461400013a8c4e,66286f645144d80001926bd8,【北京】《沈煜伦2024大千世界演唱会》,2024.05.25 19:30,北京,1101,ONSALE,80.0,https://cdn.ticketmars.com/image/prod/20240424_51/17139260655883909.jpg,5b431531908c381a8568c779,北京崇文工人文化宫（红剧场）,"{'code': 17, 'displayName': '演唱会', 'name': 'YanChangHui'}",False,1716636600000,1716642000000,"{'yuanNum': '80', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1716636600000,['20240525'],False,1,8
SHOW,662dfb92aad20400017b1e0d,662dfb9207e8c400018c3bb7,【沈阳】刘炫廷「NOBODY」2024巡演 沈阳站,2024.06.14 20:00,沈阳,2101,ONSALE,168.0,https://cdn.ticketmars.com/prod/external/img/20240428/662dfb896ec47600016b984a.jpg,63b787d81e97d600010ca110,原料库VastFactory（大悦城店）,"{'code': 19, 'displayName': 'Livehouse', 'name': 'Livehouse'}",False,1718366400000,1718371800000,"{'yuanNum': '168', 'centNum': '', 'suffix': '起', 'prefix': '￥'}",1718366400000,['20240614'],False,1,3
